model,params,task_idx,task,rollout,success,steps,jerk
FNO-VLA_baseline,28.9M,0,alphabet_soup,0,1,234,0.02794
FNO-VLA_baseline,28.9M,0,alphabet_soup,1,1,243,0.02914
FNO-VLA_baseline,28.9M,0,alphabet_soup,2,1,259,0.02818
FNO-VLA_baseline,28.9M,0,alphabet_soup,3,1,198,0.02343
FNO-VLA_baseline,28.9M,0,alphabet_soup,4,1,186,0.01997
FNO-VLA_baseline,28.9M,0,alphabet_soup,5,1,241,0.0279
FNO-VLA_baseline,28.9M,0,alphabet_soup,6,1,294,0.02988
FNO-VLA_baseline,28.9M,0,alphabet_soup,7,1,178,0.02098
FNO-VLA_baseline,28.9M,0,alphabet_soup,8,1,170,0.02012
FNO-VLA_baseline,28.9M,0,alphabet_soup,9,1,216,0.02688
FNO-VLA_baseline,28.9M,0,alphabet_soup,10,1,195,0.02492
FNO-VLA_baseline,28.9M,0,alphabet_soup,11,1,244,0.02781
FNO-VLA_baseline,28.9M,0,alphabet_soup,12,1,224,0.0246
FNO-VLA_baseline,28.9M,0,alphabet_soup,13,0,400,0.03147
FNO-VLA_baseline,28.9M,0,alphabet_soup,14,1,171,0.02182
FNO-VLA_baseline,28.9M,0,alphabet_soup,15,1,320,0.03057
FNO-VLA_baseline,28.9M,0,alphabet_soup,16,1,200,0.026
FNO-VLA_baseline,28.9M,0,alphabet_soup,17,1,223,0.02749
FNO-VLA_baseline,28.9M,0,alphabet_soup,18,1,242,0.0256
FNO-VLA_baseline,28.9M,0,alphabet_soup,19,1,251,0.03067
FNO-VLA_baseline,28.9M,1,cream_cheese,0,1,177,0.02386
FNO-VLA_baseline,28.9M,1,cream_cheese,1,0,400,0.04611
FNO-VLA_baseline,28.9M,1,cream_cheese,2,1,170,0.02502
FNO-VLA_baseline,28.9M,1,cream_cheese,3,1,271,0.02984
FNO-VLA_baseline,28.9M,1,cream_cheese,4,1,195,0.02517
FNO-VLA_baseline,28.9M,1,cream_cheese,5,0,400,0.04462
FNO-VLA_baseline,28.9M,1,cream_cheese,6,1,168,0.024
FNO-VLA_baseline,28.9M,1,cream_cheese,7,0,400,0.04827
FNO-VLA_baseline,28.9M,1,cream_cheese,8,0,400,0.05016
FNO-VLA_baseline,28.9M,1,cream_cheese,9,0,400,0.02975
FNO-VLA_baseline,28.9M,1,cream_cheese,10,0,400,0.04256
FNO-VLA_baseline,28.9M,1,cream_cheese,11,0,400,0.04369
FNO-VLA_baseline,28.9M,1,cream_cheese,12,1,178,0.02337
FNO-VLA_baseline,28.9M,1,cream_cheese,13,0,400,0.0446
FNO-VLA_baseline,28.9M,1,cream_cheese,14,1,184,0.02229
FNO-VLA_baseline,28.9M,1,cream_cheese,15,0,400,0.0459
FNO-VLA_baseline,28.9M,1,cream_cheese,16,1,201,0.0243
FNO-VLA_baseline,28.9M,1,cream_cheese,17,0,400,0.02786
FNO-VLA_baseline,28.9M,1,cream_cheese,18,0,400,0.03925
FNO-VLA_baseline,28.9M,1,cream_cheese,19,0,400,0.04671
FNO-VLA_baseline,28.9M,2,salad_dressing,0,1,127,0.01913
FNO-VLA_baseline,28.9M,2,salad_dressing,1,1,123,0.01781
FNO-VLA_baseline,28.9M,2,salad_dressing,2,1,188,0.02938
FNO-VLA_baseline,28.9M,2,salad_dressing,3,1,242,0.03192
FNO-VLA_baseline,28.9M,2,salad_dressing,4,1,192,0.02323
FNO-VLA_baseline,28.9M,2,salad_dressing,5,1,300,0.03349
FNO-VLA_baseline,28.9M,2,salad_dressing,6,1,227,0.03349
FNO-VLA_baseline,28.9M,2,salad_dressing,7,1,168,0.02547
FNO-VLA_baseline,28.9M,2,salad_dressing,8,1,134,0.019
FNO-VLA_baseline,28.9M,2,salad_dressing,9,1,219,0.03252
FNO-VLA_baseline,28.9M,2,salad_dressing,10,1,175,0.02277
FNO-VLA_baseline,28.9M,2,salad_dressing,11,1,128,0.01851
FNO-VLA_baseline,28.9M,2,salad_dressing,12,1,124,0.01725
FNO-VLA_baseline,28.9M,2,salad_dressing,13,1,131,0.02047
FNO-VLA_baseline,28.9M,2,salad_dressing,14,1,240,0.02991
FNO-VLA_baseline,28.9M,2,salad_dressing,15,1,130,0.01978
FNO-VLA_baseline,28.9M,2,salad_dressing,16,1,120,0.01668
FNO-VLA_baseline,28.9M,2,salad_dressing,17,1,138,0.02031
FNO-VLA_baseline,28.9M,2,salad_dressing,18,1,221,0.03187
FNO-VLA_baseline,28.9M,2,salad_dressing,19,1,123,0.01749
FNO-VLA_baseline,28.9M,3,bbq_sauce,0,1,281,0.03187
FNO-VLA_baseline,28.9M,3,bbq_sauce,1,0,400,0.03786
FNO-VLA_baseline,28.9M,3,bbq_sauce,2,0,400,0.03676
FNO-VLA_baseline,28.9M,3,bbq_sauce,3,0,400,0.03399
FNO-VLA_baseline,28.9M,3,bbq_sauce,4,0,400,0.03735
FNO-VLA_baseline,28.9M,3,bbq_sauce,5,0,400,0.0353
FNO-VLA_baseline,28.9M,3,bbq_sauce,6,0,400,0.03473
FNO-VLA_baseline,28.9M,3,bbq_sauce,7,0,400,0.03723
FNO-VLA_baseline,28.9M,3,bbq_sauce,8,0,400,0.03416
FNO-VLA_baseline,28.9M,3,bbq_sauce,9,0,400,0.03762
FNO-VLA_baseline,28.9M,3,bbq_sauce,10,0,400,0.03764
FNO-VLA_baseline,28.9M,3,bbq_sauce,11,1,184,0.01957
FNO-VLA_baseline,28.9M,3,bbq_sauce,12,0,400,0.03724
FNO-VLA_baseline,28.9M,3,bbq_sauce,13,1,205,0.02571
FNO-VLA_baseline,28.9M,3,bbq_sauce,14,1,300,0.03079
FNO-VLA_baseline,28.9M,3,bbq_sauce,15,0,400,0.03813
FNO-VLA_baseline,28.9M,3,bbq_sauce,16,1,152,0.0219
FNO-VLA_baseline,28.9M,3,bbq_sauce,17,1,201,0.02341
FNO-VLA_baseline,28.9M,3,bbq_sauce,18,0,400,0.03408
FNO-VLA_baseline,28.9M,3,bbq_sauce,19,0,400,0.03416
FNO-VLA_baseline,28.9M,4,ketchup,0,0,400,0.03035
FNO-VLA_baseline,28.9M,4,ketchup,1,0,400,0.03262
FNO-VLA_baseline,28.9M,4,ketchup,2,1,188,0.0228
FNO-VLA_baseline,28.9M,4,ketchup,3,1,258,0.02498
FNO-VLA_baseline,28.9M,4,ketchup,4,0,400,0.02307
FNO-VLA_baseline,28.9M,4,ketchup,5,0,400,0.02523
FNO-VLA_baseline,28.9M,4,ketchup,6,0,400,0.03006
FNO-VLA_baseline,28.9M,4,ketchup,7,0,400,0.02764
FNO-VLA_baseline,28.9M,4,ketchup,8,0,400,0.02647
FNO-VLA_baseline,28.9M,4,ketchup,9,0,400,0.02803
FNO-VLA_baseline,28.9M,4,ketchup,10,1,289,0.02286
FNO-VLA_baseline,28.9M,4,ketchup,11,1,199,0.02162
FNO-VLA_baseline,28.9M,4,ketchup,12,0,400,0.02284
FNO-VLA_baseline,28.9M,4,ketchup,13,1,268,0.02429
FNO-VLA_baseline,28.9M,4,ketchup,14,0,400,0.02263
FNO-VLA_baseline,28.9M,4,ketchup,15,0,400,0.02944
FNO-VLA_baseline,28.9M,4,ketchup,16,1,361,0.02909
FNO-VLA_baseline,28.9M,4,ketchup,17,0,400,0.02381
FNO-VLA_baseline,28.9M,4,ketchup,18,0,400,0.02296
FNO-VLA_baseline,28.9M,4,ketchup,19,0,400,0.02489
FNO-VLA_baseline,28.9M,5,tomato_sauce,0,0,400,0.03463
FNO-VLA_baseline,28.9M,5,tomato_sauce,1,1,392,0.0324
FNO-VLA_baseline,28.9M,5,tomato_sauce,2,0,400,0.02851
FNO-VLA_baseline,28.9M,5,tomato_sauce,3,1,177,0.04277
FNO-VLA_baseline,28.9M,5,tomato_sauce,4,0,400,0.02266
FNO-VLA_baseline,28.9M,5,tomato_sauce,5,1,223,0.02831
FNO-VLA_baseline,28.9M,5,tomato_sauce,6,1,159,0.03926
FNO-VLA_baseline,28.9M,5,tomato_sauce,7,1,378,0.02779
FNO-VLA_baseline,28.9M,5,tomato_sauce,8,1,146,0.02988
FNO-VLA_baseline,28.9M,5,tomato_sauce,9,1,145,0.03042
FNO-VLA_baseline,28.9M,5,tomato_sauce,10,1,120,0.02187
FNO-VLA_baseline,28.9M,5,tomato_sauce,11,0,400,0.03033
FNO-VLA_baseline,28.9M,5,tomato_sauce,12,1,214,0.03199
FNO-VLA_baseline,28.9M,5,tomato_sauce,13,1,202,0.02844
FNO-VLA_baseline,28.9M,5,tomato_sauce,14,1,141,0.02314
FNO-VLA_baseline,28.9M,5,tomato_sauce,15,1,227,0.02837
FNO-VLA_baseline,28.9M,5,tomato_sauce,16,0,400,0.032
FNO-VLA_baseline,28.9M,5,tomato_sauce,17,1,123,0.0221
FNO-VLA_baseline,28.9M,5,tomato_sauce,18,1,195,0.02394
FNO-VLA_baseline,28.9M,5,tomato_sauce,19,1,165,0.03547
FNO-VLA_baseline,28.9M,6,butter,0,1,151,0.02216
FNO-VLA_baseline,28.9M,6,butter,1,1,160,0.01817
FNO-VLA_baseline,28.9M,6,butter,2,1,153,0.01865
FNO-VLA_baseline,28.9M,6,butter,3,1,153,0.01835
FNO-VLA_baseline,28.9M,6,butter,4,1,157,0.02203
FNO-VLA_baseline,28.9M,6,butter,5,1,151,0.02162
FNO-VLA_baseline,28.9M,6,butter,6,1,178,0.02597
FNO-VLA_baseline,28.9M,6,butter,7,1,154,0.02197
FNO-VLA_baseline,28.9M,6,butter,8,1,152,0.01962
FNO-VLA_baseline,28.9M,6,butter,9,1,197,0.02561
FNO-VLA_baseline,28.9M,6,butter,10,1,161,0.02144
FNO-VLA_baseline,28.9M,6,butter,11,1,160,0.01936
FNO-VLA_baseline,28.9M,6,butter,12,1,160,0.01721
FNO-VLA_baseline,28.9M,6,butter,13,1,153,0.02059
FNO-VLA_baseline,28.9M,6,butter,14,1,152,0.01961
FNO-VLA_baseline,28.9M,6,butter,15,1,152,0.02104
FNO-VLA_baseline,28.9M,6,butter,16,0,400,0.03679
FNO-VLA_baseline,28.9M,6,butter,17,1,171,0.02435
FNO-VLA_baseline,28.9M,6,butter,18,1,159,0.01677
FNO-VLA_baseline,28.9M,6,butter,19,1,160,0.01669
FNO-VLA_baseline,28.9M,7,milk,0,0,400,0.03664
FNO-VLA_baseline,28.9M,7,milk,1,1,140,0.01708
FNO-VLA_baseline,28.9M,7,milk,2,1,143,0.01839
FNO-VLA_baseline,28.9M,7,milk,3,1,141,0.0168
FNO-VLA_baseline,28.9M,7,milk,4,0,400,0.03738
FNO-VLA_baseline,28.9M,7,milk,5,0,400,0.03795
FNO-VLA_baseline,28.9M,7,milk,6,1,147,0.01687
FNO-VLA_baseline,28.9M,7,milk,7,1,144,0.01405
FNO-VLA_baseline,28.9M,7,milk,8,0,400,0.03564
FNO-VLA_baseline,28.9M,7,milk,9,1,135,0.01742
FNO-VLA_baseline,28.9M,7,milk,10,1,133,0.01796
FNO-VLA_baseline,28.9M,7,milk,11,1,140,0.01701
FNO-VLA_baseline,28.9M,7,milk,12,1,190,0.02318
FNO-VLA_baseline,28.9M,7,milk,13,1,143,0.01775
FNO-VLA_baseline,28.9M,7,milk,14,0,400,0.03848
FNO-VLA_baseline,28.9M,7,milk,15,1,142,0.01692
FNO-VLA_baseline,28.9M,7,milk,16,1,141,0.01656
FNO-VLA_baseline,28.9M,7,milk,17,1,141,0.01624
FNO-VLA_baseline,28.9M,7,milk,18,0,400,0.03801
FNO-VLA_baseline,28.9M,7,milk,19,1,136,0.0168
FNO-VLA_baseline,28.9M,8,chocolate_pudding,0,0,400,0.02578
FNO-VLA_baseline,28.9M,8,chocolate_pudding,1,1,219,0.01945
FNO-VLA_baseline,28.9M,8,chocolate_pudding,2,0,400,0.02302
FNO-VLA_baseline,28.9M,8,chocolate_pudding,3,1,209,0.01663
FNO-VLA_baseline,28.9M,8,chocolate_pudding,4,0,400,0.03457
FNO-VLA_baseline,28.9M,8,chocolate_pudding,5,0,400,0.03329
FNO-VLA_baseline,28.9M,8,chocolate_pudding,6,1,210,0.01917
FNO-VLA_baseline,28.9M,8,chocolate_pudding,7,1,184,0.01556
FNO-VLA_baseline,28.9M,8,chocolate_pudding,8,1,387,0.02387
FNO-VLA_baseline,28.9M,8,chocolate_pudding,9,1,160,0.01751
FNO-VLA_baseline,28.9M,8,chocolate_pudding,10,1,160,0.01689
FNO-VLA_baseline,28.9M,8,chocolate_pudding,11,1,187,0.02048
FNO-VLA_baseline,28.9M,8,chocolate_pudding,12,1,240,0.02035
FNO-VLA_baseline,28.9M,8,chocolate_pudding,13,0,400,0.02276
FNO-VLA_baseline,28.9M,8,chocolate_pudding,14,1,160,0.01679
FNO-VLA_baseline,28.9M,8,chocolate_pudding,15,1,191,0.01633
FNO-VLA_baseline,28.9M,8,chocolate_pudding,16,1,152,0.01899
FNO-VLA_baseline,28.9M,8,chocolate_pudding,17,1,190,0.01895
FNO-VLA_baseline,28.9M,8,chocolate_pudding,18,0,400,0.0349
FNO-VLA_baseline,28.9M,8,chocolate_pudding,19,1,209,0.01729
FNO-VLA_baseline,28.9M,9,orange_juice,0,0,400,0.03844
FNO-VLA_baseline,28.9M,9,orange_juice,1,0,400,0.04125
FNO-VLA_baseline,28.9M,9,orange_juice,2,0,400,0.03748
FNO-VLA_baseline,28.9M,9,orange_juice,3,0,400,0.03913
FNO-VLA_baseline,28.9M,9,orange_juice,4,1,131,0.02056
FNO-VLA_baseline,28.9M,9,orange_juice,5,0,400,0.0418
FNO-VLA_baseline,28.9M,9,orange_juice,6,1,169,0.02709
FNO-VLA_baseline,28.9M,9,orange_juice,7,1,148,0.02901
FNO-VLA_baseline,28.9M,9,orange_juice,8,1,123,0.01855
FNO-VLA_baseline,28.9M,9,orange_juice,9,0,400,0.03848
FNO-VLA_baseline,28.9M,9,orange_juice,10,0,400,0.03988
FNO-VLA_baseline,28.9M,9,orange_juice,11,0,400,0.03839
FNO-VLA_baseline,28.9M,9,orange_juice,12,1,243,0.03228
FNO-VLA_baseline,28.9M,9,orange_juice,13,0,400,0.03563
FNO-VLA_baseline,28.9M,9,orange_juice,14,0,400,0.03793
FNO-VLA_baseline,28.9M,9,orange_juice,15,0,400,0.03665
FNO-VLA_baseline,28.9M,9,orange_juice,16,0,400,0.04347
FNO-VLA_baseline,28.9M,9,orange_juice,17,0,400,0.0387
FNO-VLA_baseline,28.9M,9,orange_juice,18,1,159,0.02715
FNO-VLA_baseline,28.9M,9,orange_juice,19,0,400,0.04028
