model,task,n,successes,success_pct
FNO-VLA_baseline,alphabet_soup,20,19,95.0
FNO-VLA_baseline,cream_cheese,20,8,40.0
FNO-VLA_baseline,salad_dressing,20,20,100.0
FNO-VLA_baseline,bbq_sauce,20,6,30.0
FNO-VLA_baseline,ketchup,20,6,30.0
FNO-VLA_baseline,tomato_sauce,20,15,75.0
FNO-VLA_baseline,butter,20,19,95.0
FNO-VLA_baseline,milk,20,14,70.0
FNO-VLA_baseline,chocolate_pudding,20,14,70.0
FNO-VLA_baseline,orange_juice,20,6,30.0
FNO-VLA_sv_ep5,alphabet_soup,20,18,90.0
FNO-VLA_sv_ep5,cream_cheese,20,7,35.0
FNO-VLA_sv_ep5,salad_dressing,20,18,90.0
FNO-VLA_sv_ep5,bbq_sauce,20,1,5.0
FNO-VLA_sv_ep5,ketchup,20,12,60.0
FNO-VLA_sv_ep5,tomato_sauce,20,7,35.0
FNO-VLA_sv_ep5,butter,20,17,85.0
FNO-VLA_sv_ep5,milk,20,18,90.0
FNO-VLA_sv_ep5,chocolate_pudding,20,19,95.0
FNO-VLA_sv_ep5,orange_juice,20,17,85.0
FNO-VLA_sv_ep10,alphabet_soup,20,18,90.0
FNO-VLA_sv_ep10,cream_cheese,20,6,30.0
FNO-VLA_sv_ep10,salad_dressing,20,19,95.0
FNO-VLA_sv_ep10,bbq_sauce,20,1,5.0
FNO-VLA_sv_ep10,ketchup,20,5,25.0
FNO-VLA_sv_ep10,tomato_sauce,20,7,35.0
FNO-VLA_sv_ep10,butter,20,17,85.0
FNO-VLA_sv_ep10,milk,20,19,95.0
FNO-VLA_sv_ep10,chocolate_pudding,20,19,95.0
FNO-VLA_sv_ep10,orange_juice,20,13,65.0
FNO-VLA_sv_ep44,alphabet_soup,20,18,90.0
FNO-VLA_sv_ep44,cream_cheese,20,6,30.0
FNO-VLA_sv_ep44,salad_dressing,20,20,100.0
FNO-VLA_sv_ep44,bbq_sauce,20,2,10.0
FNO-VLA_sv_ep44,ketchup,20,6,30.0
FNO-VLA_sv_ep44,tomato_sauce,20,3,15.0
FNO-VLA_sv_ep44,butter,20,18,90.0
FNO-VLA_sv_ep44,milk,20,13,65.0
FNO-VLA_sv_ep44,chocolate_pudding,20,10,50.0
FNO-VLA_sv_ep44,orange_juice,20,13,65.0
Octo-Small,alphabet_soup,20,16,80.0
Octo-Small,cream_cheese,20,20,100.0
Octo-Small,salad_dressing,20,17,85.0
Octo-Small,bbq_sauce,20,14,70.0
Octo-Small,ketchup,20,16,80.0
Octo-Small,tomato_sauce,20,16,80.0
Octo-Small,butter,20,8,40.0
Octo-Small,milk,20,11,55.0
Octo-Small,chocolate_pudding,20,11,55.0
Octo-Small,orange_juice,20,12,60.0
