output_size,region,task_idx,task,rollout,success,steps,jerk
8,below_nyquist,0,alphabet_soup,0,1,173,0.03602
8,below_nyquist,0,alphabet_soup,1,1,271,0.02564
8,below_nyquist,0,alphabet_soup,2,0,400,0.01864
8,below_nyquist,0,alphabet_soup,3,0,400,0.01972
8,below_nyquist,0,alphabet_soup,4,0,400,0.01973
8,below_nyquist,0,alphabet_soup,5,0,400,0.01904
8,below_nyquist,0,alphabet_soup,6,0,400,0.01893
8,below_nyquist,0,alphabet_soup,7,0,400,0.02532
8,below_nyquist,0,alphabet_soup,8,1,246,0.02957
8,below_nyquist,0,alphabet_soup,9,0,400,0.01761
8,below_nyquist,1,cream_cheese,0,1,136,0.03883
8,below_nyquist,1,cream_cheese,1,1,136,0.03635
8,below_nyquist,1,cream_cheese,2,1,120,0.03748
8,below_nyquist,1,cream_cheese,3,0,400,0.01981
8,below_nyquist,1,cream_cheese,4,1,127,0.03715
8,below_nyquist,1,cream_cheese,5,1,130,0.03828
8,below_nyquist,1,cream_cheese,6,0,400,0.02135
8,below_nyquist,1,cream_cheese,7,0,400,0.02011
8,below_nyquist,1,cream_cheese,8,0,400,0.02111
8,below_nyquist,1,cream_cheese,9,1,136,0.03637
8,below_nyquist,2,salad_dressing,0,1,199,0.03182
8,below_nyquist,2,salad_dressing,1,0,400,0.01537
8,below_nyquist,2,salad_dressing,2,0,400,0.02243
8,below_nyquist,2,salad_dressing,3,1,104,0.04114
8,below_nyquist,2,salad_dressing,4,0,400,0.02237
8,below_nyquist,2,salad_dressing,5,0,400,0.02051
8,below_nyquist,2,salad_dressing,6,0,400,0.01827
8,below_nyquist,2,salad_dressing,7,0,400,0.01562
8,below_nyquist,2,salad_dressing,8,1,245,0.02869
8,below_nyquist,2,salad_dressing,9,1,112,0.03816
8,below_nyquist,3,bbq_sauce,0,0,400,0.021
8,below_nyquist,3,bbq_sauce,1,0,400,0.02468
8,below_nyquist,3,bbq_sauce,2,0,400,0.0215
8,below_nyquist,3,bbq_sauce,3,0,400,0.02862
8,below_nyquist,3,bbq_sauce,4,0,400,0.02595
8,below_nyquist,3,bbq_sauce,5,0,400,0.01884
8,below_nyquist,3,bbq_sauce,6,0,400,0.02669
8,below_nyquist,3,bbq_sauce,7,0,400,0.01599
8,below_nyquist,3,bbq_sauce,8,0,400,0.02075
8,below_nyquist,3,bbq_sauce,9,0,400,0.02339
8,below_nyquist,4,ketchup,0,0,400,0.02017
8,below_nyquist,4,ketchup,1,0,400,0.01391
8,below_nyquist,4,ketchup,2,0,400,0.01458
8,below_nyquist,4,ketchup,3,0,400,0.02032
8,below_nyquist,4,ketchup,4,0,400,0.01232
8,below_nyquist,4,ketchup,5,0,400,0.01649
8,below_nyquist,4,ketchup,6,0,400,0.01249
8,below_nyquist,4,ketchup,7,0,400,0.01672
8,below_nyquist,4,ketchup,8,0,400,0.01436
8,below_nyquist,4,ketchup,9,0,400,0.01416
8,below_nyquist,5,tomato_sauce,0,0,400,0.01512
8,below_nyquist,5,tomato_sauce,1,0,400,0.02236
8,below_nyquist,5,tomato_sauce,2,0,400,0.0155
8,below_nyquist,5,tomato_sauce,3,0,400,0.0171
8,below_nyquist,5,tomato_sauce,4,0,400,0.01632
8,below_nyquist,5,tomato_sauce,5,0,400,0.0162
8,below_nyquist,5,tomato_sauce,6,0,400,0.02239
8,below_nyquist,5,tomato_sauce,7,0,400,0.01529
8,below_nyquist,5,tomato_sauce,8,0,400,0.01387
8,below_nyquist,5,tomato_sauce,9,0,400,0.01645
8,below_nyquist,6,butter,0,0,400,0.02912
8,below_nyquist,6,butter,1,0,400,0.03041
8,below_nyquist,6,butter,2,0,400,0.02981
8,below_nyquist,6,butter,3,0,400,0.02627
8,below_nyquist,6,butter,4,0,400,0.02574
8,below_nyquist,6,butter,5,0,400,0.03001
8,below_nyquist,6,butter,6,0,400,0.02698
8,below_nyquist,6,butter,7,0,400,0.02722
8,below_nyquist,6,butter,8,0,400,0.02997
8,below_nyquist,6,butter,9,1,175,0.03311
8,below_nyquist,7,milk,0,0,400,0.01944
8,below_nyquist,7,milk,1,1,223,0.02338
8,below_nyquist,7,milk,2,1,168,0.02784
8,below_nyquist,7,milk,3,0,400,0.01494
8,below_nyquist,7,milk,4,0,400,0.02251
8,below_nyquist,7,milk,5,0,400,0.01421
8,below_nyquist,7,milk,6,0,400,0.01462
8,below_nyquist,7,milk,7,0,400,0.02056
8,below_nyquist,7,milk,8,0,400,0.03547
8,below_nyquist,7,milk,9,1,129,0.0362
8,below_nyquist,8,chocolate_pudding,0,0,400,0.0245
8,below_nyquist,8,chocolate_pudding,1,1,151,0.03154
8,below_nyquist,8,chocolate_pudding,2,0,400,0.02218
8,below_nyquist,8,chocolate_pudding,3,1,151,0.03137
8,below_nyquist,8,chocolate_pudding,4,1,133,0.03339
8,below_nyquist,8,chocolate_pudding,5,0,400,0.02654
8,below_nyquist,8,chocolate_pudding,6,1,152,0.03292
8,below_nyquist,8,chocolate_pudding,7,1,160,0.03131
8,below_nyquist,8,chocolate_pudding,8,1,174,0.02809
8,below_nyquist,8,chocolate_pudding,9,0,400,0.02449
8,below_nyquist,9,orange_juice,0,0,400,0.02065
8,below_nyquist,9,orange_juice,1,0,400,0.01936
8,below_nyquist,9,orange_juice,2,1,227,0.02407
8,below_nyquist,9,orange_juice,3,0,400,0.02185
8,below_nyquist,9,orange_juice,4,1,366,0.01843
8,below_nyquist,9,orange_juice,5,1,370,0.01915
8,below_nyquist,9,orange_juice,6,1,288,0.01774
8,below_nyquist,9,orange_juice,7,1,112,0.03767
8,below_nyquist,9,orange_juice,8,0,400,0.01534
8,below_nyquist,9,orange_juice,9,1,327,0.01927
16,native,0,alphabet_soup,0,1,234,0.02794
16,native,0,alphabet_soup,1,1,243,0.02914
16,native,0,alphabet_soup,2,1,259,0.02818
16,native,0,alphabet_soup,3,1,198,0.02343
16,native,0,alphabet_soup,4,1,186,0.01997
16,native,0,alphabet_soup,5,1,241,0.0279
16,native,0,alphabet_soup,6,1,294,0.02988
16,native,0,alphabet_soup,7,1,178,0.02098
16,native,0,alphabet_soup,8,1,170,0.02012
16,native,0,alphabet_soup,9,1,216,0.02688
16,native,1,cream_cheese,0,1,177,0.02386
16,native,1,cream_cheese,1,0,400,0.04611
16,native,1,cream_cheese,2,1,170,0.02502
16,native,1,cream_cheese,3,1,271,0.02984
16,native,1,cream_cheese,4,1,195,0.02517
16,native,1,cream_cheese,5,0,400,0.04462
16,native,1,cream_cheese,6,1,168,0.024
16,native,1,cream_cheese,7,0,400,0.04827
16,native,1,cream_cheese,8,0,400,0.05016
16,native,1,cream_cheese,9,0,400,0.02975
16,native,2,salad_dressing,0,1,127,0.01913
16,native,2,salad_dressing,1,1,123,0.01781
16,native,2,salad_dressing,2,1,188,0.02938
16,native,2,salad_dressing,3,1,242,0.03192
16,native,2,salad_dressing,4,1,192,0.02323
