output_size,task,n,successes,success_pct,mean_jerk
8,alphabet_soup,10,3,30.0,0.02302
8,cream_cheese,10,6,60.0,0.03068
8,salad_dressing,10,4,40.0,0.02544
8,bbq_sauce,10,0,0.0,0.02274
8,ketchup,10,0,0.0,0.01555
8,tomato_sauce,10,0,0.0,0.01706
8,butter,10,1,10.0,0.02886
8,milk,10,3,30.0,0.02292
8,chocolate_pudding,10,6,60.0,0.02863
8,orange_juice,10,6,60.0,0.02135
16,alphabet_soup,10,10,100.0,0.02544
16,cream_cheese,10,5,50.0,0.03468
16,salad_dressing,10,10,100.0,0.02654
16,bbq_sauce,10,1,10.0,0.03569
16,ketchup,10,2,20.0,0.02712
16,tomato_sauce,10,7,70.0,0.03166
16,butter,10,10,100.0,0.02142
16,milk,10,6,60.0,0.02482
16,chocolate_pudding,10,6,60.0,0.02288
16,orange_juice,10,4,40.0,0.03318
24,alphabet_soup,10,9,90.0,0.0209
24,cream_cheese,10,6,60.0,0.02497
24,salad_dressing,10,10,100.0,0.02008
24,bbq_sauce,10,0,0.0,0.02863
24,ketchup,10,2,20.0,0.01874
24,tomato_sauce,10,8,80.0,0.03711
24,butter,10,10,100.0,0.01865
24,milk,10,10,100.0,0.01488
24,chocolate_pudding,10,8,80.0,0.01795
24,orange_juice,10,5,50.0,0.02282
32,alphabet_soup,10,9,90.0,0.02642
32,cream_cheese,10,7,70.0,0.02419
32,salad_dressing,10,9,90.0,0.02549
32,bbq_sauce,10,4,40.0,0.02981
32,ketchup,10,0,0.0,0.02456
32,tomato_sauce,10,7,70.0,0.04369
32,butter,10,10,100.0,0.02542
32,milk,10,6,60.0,0.018
32,chocolate_pudding,10,9,90.0,0.02038
32,orange_juice,10,5,50.0,0.02611
