perturb,severity,task_idx,task,rollout,success,steps,jerk
none,0,0,alphabet_soup,0,1,234,0.02794
none,0,0,alphabet_soup,1,1,243,0.02914
none,0,0,alphabet_soup,2,1,259,0.02818
none,0,0,alphabet_soup,3,1,198,0.02343
none,0,0,alphabet_soup,4,1,186,0.01997
none,0,0,alphabet_soup,5,1,241,0.0279
none,0,0,alphabet_soup,6,1,294,0.02988
none,0,0,alphabet_soup,7,1,178,0.02098
none,0,0,alphabet_soup,8,1,170,0.02012
none,0,0,alphabet_soup,9,1,216,0.02688
none,0,1,cream_cheese,0,1,177,0.02386
none,0,1,cream_cheese,1,0,400,0.04611
none,0,1,cream_cheese,2,1,170,0.02502
none,0,1,cream_cheese,3,1,271,0.02984
none,0,1,cream_cheese,4,1,195,0.02517
none,0,1,cream_cheese,5,0,400,0.04462
none,0,1,cream_cheese,6,1,168,0.024
none,0,1,cream_cheese,7,0,400,0.04827
none,0,1,cream_cheese,8,0,400,0.05016
none,0,1,cream_cheese,9,0,400,0.02975
none,0,2,salad_dressing,0,1,127,0.01913
none,0,2,salad_dressing,1,1,123,0.01781
none,0,2,salad_dressing,2,1,188,0.02938
none,0,2,salad_dressing,3,1,242,0.03192
none,0,2,salad_dressing,4,1,192,0.02323
none,0,2,salad_dressing,5,1,300,0.03349
none,0,2,salad_dressing,6,1,227,0.03349
none,0,2,salad_dressing,7,1,168,0.02547
none,0,2,salad_dressing,8,1,134,0.019
none,0,2,salad_dressing,9,1,219,0.03252
none,0,3,bbq_sauce,0,1,281,0.03187
none,0,3,bbq_sauce,1,0,400,0.03786
none,0,3,bbq_sauce,2,0,400,0.03676
none,0,3,bbq_sauce,3,0,400,0.03399
none,0,3,bbq_sauce,4,0,400,0.03735
none,0,3,bbq_sauce,5,0,400,0.0353
none,0,3,bbq_sauce,6,0,400,0.03473
none,0,3,bbq_sauce,7,0,400,0.03723
none,0,3,bbq_sauce,8,0,400,0.03416
none,0,3,bbq_sauce,9,0,400,0.03762
