perturb,severity,task,n,successes,success_pct
noise,1,alphabet_soup,10,8,80.0
noise,1,cream_cheese,10,3,30.0
noise,1,salad_dressing,10,10,100.0
noise,1,bbq_sauce,10,6,60.0
noise,1,ketchup,10,3,30.0
noise,1,tomato_sauce,10,8,80.0
noise,1,butter,10,9,90.0
noise,1,milk,10,8,80.0
noise,1,chocolate_pudding,10,3,30.0
noise,1,orange_juice,10,3,30.0
noise,2,alphabet_soup,10,9,90.0
noise,2,cream_cheese,10,5,50.0
noise,2,salad_dressing,10,10,100.0
noise,2,bbq_sauce,10,6,60.0
noise,2,ketchup,10,4,40.0
noise,2,tomato_sauce,10,5,50.0
noise,2,butter,10,7,70.0
noise,2,milk,10,7,70.0
noise,2,chocolate_pudding,10,3,30.0
noise,2,orange_juice,10,6,60.0
noise,3,alphabet_soup,10,10,100.0
noise,3,cream_cheese,10,0,0.0
noise,3,salad_dressing,10,9,90.0
noise,3,bbq_sauce,10,6,60.0
noise,3,ketchup,10,1,10.0
noise,3,tomato_sauce,10,2,20.0
noise,3,butter,10,1,10.0
noise,3,milk,10,10,100.0
noise,3,chocolate_pudding,10,10,100.0
noise,3,orange_juice,10,5,50.0
noise,4,alphabet_soup,10,0,0.0
noise,4,cream_cheese,10,0,0.0
noise,4,salad_dressing,10,0,0.0
noise,4,bbq_sauce,10,0,0.0
noise,4,ketchup,10,0,0.0
noise,4,tomato_sauce,10,0,0.0
noise,4,butter,10,0,0.0
noise,4,milk,10,0,0.0
noise,4,chocolate_pudding,10,0,0.0
noise,4,orange_juice,10,0,0.0
noise,5,alphabet_soup,10,0,0.0
noise,5,cream_cheese,10,0,0.0
noise,5,salad_dressing,10,0,0.0
noise,5,bbq_sauce,10,0,0.0
noise,5,ketchup,10,0,0.0
noise,5,tomato_sauce,10,0,0.0
noise,5,butter,10,0,0.0
noise,5,milk,10,0,0.0
noise,5,chocolate_pudding,10,0,0.0
noise,5,orange_juice,10,0,0.0
blur,1,alphabet_soup,10,5,50.0
blur,1,cream_cheese,10,2,20.0
blur,1,salad_dressing,10,10,100.0
blur,1,bbq_sauce,10,2,20.0
blur,1,ketchup,10,3,30.0
blur,1,tomato_sauce,10,4,40.0
blur,1,butter,10,3,30.0
blur,1,milk,10,8,80.0
blur,1,chocolate_pudding,10,9,90.0
blur,1,orange_juice,10,5,50.0
blur,2,alphabet_soup,10,3,30.0
blur,2,cream_cheese,10,3,30.0
blur,2,salad_dressing,10,8,80.0
blur,2,bbq_sauce,10,2,20.0
blur,2,ketchup,10,1,10.0
blur,2,tomato_sauce,10,6,60.0
blur,2,butter,10,3,30.0
blur,2,milk,10,5,50.0
blur,2,chocolate_pudding,10,10,100.0
blur,2,orange_juice,10,6,60.0
blur,3,alphabet_soup,10,0,0.0
blur,3,cream_cheese,10,7,70.0
blur,3,salad_dressing,10,10,100.0
blur,3,bbq_sauce,10,0,0.0
blur,3,ketchup,10,0,0.0
blur,3,tomato_sauce,10,4,40.0
blur,3,butter,10,8,80.0
blur,3,milk,10,4,40.0
blur,3,chocolate_pudding,10,4,40.0
blur,3,orange_juice,10,1,10.0
blur,4,alphabet_soup,10,0,0.0
blur,4,cream_cheese,10,10,100.0
blur,4,salad_dressing,10,3,30.0
blur,4,bbq_sauce,10,0,0.0
blur,4,ketchup,10,0,0.0
blur,4,tomato_sauce,10,0,0.0
blur,4,butter,10,4,40.0
blur,4,milk,10,4,40.0
blur,4,chocolate_pudding,10,5,50.0
blur,4,orange_juice,10,0,0.0
