perturb,severity,n,successes,success_pct,wilson_ci_halfwidth,mean_jerk
noise,0,100,61,61.0,9.6,0.02834
noise,1,100,61,61.0,9.6,0.02762
noise,2,100,62,62.0,9.5,0.02784
noise,3,100,54,54.0,9.8,0.03013
noise,4,100,0,0.0,0.0,0.03915
noise,5,100,0,0.0,0.0,0.03914
blur,0,100,61,61.0,9.6,0.02834
blur,1,100,51,51.0,9.8,0.03012
blur,2,100,47,47.0,9.8,0.03501
blur,3,100,38,38.0,9.5,0.03641
blur,4,100,26,26.0,8.6,0.03574
blur,5,100,16,16.0,7.2,0.03694
brightness,0,100,61,61.0,9.6,0.02834
brightness,1,100,60,60.0,9.6,0.02834
brightness,2,100,57,57.0,9.7,0.02888
brightness,3,100,58,58.0,9.7,0.02831
brightness,4,100,9,9.0,5.6,0.03825
brightness,5,76,0,0.0,0.0,0.04117
